# of Epoch,# of Aggregation Epoch,Min. Aggregation Epoch,Max Aggregation Epoch,# of Push Mess.,# of Pull-Push Mess.,# of Pull Mess.,# of Outcome=FIRST,# of Outcomes=DOUBLE,# of Outcomes=REPLACE,# of Outcomes=UNSUCCESSFUL,AMD Counter,SMA Counter,DMA Counter,AMS Counter,AMD F.P. Prob.,SMA F.P. Prob.,DMA F.P. Prob.,AMS F.P. Prob.,Avegare (Estimated),Sum (Estimated),Sum Square (Estimated),Max (Estimated),Min (Estimated),Stand. Deviation (Estimated),Count (Estimated),Avegare (Actual),Sum (Actual),Sum Square (Actual),Max (Actual),Min (Actual),Stand. Deviation (Actual),Count (Actual)
1.439909224E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909225E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909226E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909227E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909228E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909229E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.43990923E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909231E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909232E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909233E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909234E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909235E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909236E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909237E9,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909238E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.2620847606257971,0.2620847606257971,0.2060652652568441,0.2620847606257971,0.2620847606257971,0.0,0.3333333333333333,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909239E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.5402276630644356,0.5402276630644356,0.43815568778781405,0.5402276630644356,0.5402276630644356,0.0,0.6666666666666666,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.43990924E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909241E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909242E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909243E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909244E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909245E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909246E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909247E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909248E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909249E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.43990925E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
1.439909251E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000004,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.8017380385466453,0.8017380385466453,0.6433187172423529,0.8017380385466453,0.8017380385466453,0.0,1.0,0.8017380385466453,2.405214115639936,1.9299561517270587,0.8344287073159156,0.7845311264466289,0.02312649540528829,3.0
