# of Epoch,# of Aggregation Epoch,Min. Aggregation Epoch,Max Aggregation Epoch,# of Push Mess.,# of Pull-Push Mess.,# of Pull Mess.,# of Outcome=FIRST,# of Outcomes=DOUBLE,# of Outcomes=REPLACE,# of Outcomes=UNSUCCESSFUL,AMD Counter,SMA Counter,DMA Counter,AMS Counter,AMD F.P. Prob.,SMA F.P. Prob.,DMA F.P. Prob.,AMS F.P. Prob.,Avegare (Estimated),Sum (Estimated),Sum Square (Estimated),Max (Estimated),Min (Estimated),Stand. Deviation (Estimated),Count (Estimated),Avegare (Actual),Sum (Actual),Sum Square (Actual),Max (Actual),Min (Actual),Stand. Deviation (Actual),Count (Actual)
0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
1.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
2.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
3.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
4.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
5.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
6.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
7.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
8.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
9.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
10.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
11.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
12.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
13.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.19999999999999998,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104208E-84,0.5919799875693414,0.5919799875693414,0.5038265493858297,0.5919799875693414,0.5919799875693414,0.0,0.7,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
15.0,0.0,0.0,0.0,12.0,10.0,10.0,20.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8499645843947476,2.549893753184243,2.1788853300779456,0.9097219677481782,0.7982936503960677,0.048775879454633034,3.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8499645843947476,2.549893753184243,2.1788853300779456,0.9097219677481782,0.7982936503960677,0.048775879454633034,3.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8499645843947476,2.549893753184243,2.1788853300779456,0.9097219677481782,0.7982936503960677,0.048775879454633034,3.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8499645843947476,2.549893753184243,2.1788853300779456,0.9097219677481782,0.7982936503960677,0.048775879454633034,3.0,0.8499645843947476,8.499645843947476,7.262951100259818,0.9406521528234877,0.7613400970375599,0.06209118536995123,10.0
