# of Epoch,# of Aggregation Epoch,Min. Aggregation Epoch,Max Aggregation Epoch,# of Push Mess.,# of Pull-Push Mess.,# of Pull Mess.,# of Outcome=FIRST,# of Outcomes=DOUBLE,# of Outcomes=REPLACE,# of Outcomes=UNSUCCESSFUL,AMD Counter,SMA Counter,DMA Counter,AMS Counter,AMD F.P. Prob.,SMA F.P. Prob.,DMA F.P. Prob.,AMS F.P. Prob.,Avegare (Estimated),Sum (Estimated),Sum Square (Estimated),Max (Estimated),Min (Estimated),Stand. Deviation (Estimated),Count (Estimated),Avegare (Actual),Sum (Actual),Sum Square (Actual),Max (Actual),Min (Actual),Stand. Deviation (Actual),Count (Actual)
0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
1.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
2.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
3.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
4.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
5.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
6.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
7.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
8.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
9.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
10.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
11.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
12.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
13.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.5331268367417535,0.5331268367417535,0.42728700332669717,0.5331268367417535,0.5331268367417535,0.0,0.6666666666666666,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
15.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,0.4666666666666666,6.289922327546787E-72,3.1453364505724606E-72,3.1453364505724606E-72,1.2579844655093572E-72,0.8101117848836404,1.8972085179091678,1.5479655764629872,0.8561297955384172,0.761927828443495,0.04314287418298857,2.3333333333333335,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
16.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.6,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606656E-72,0.8309548444256603,2.4928645332769808,2.0801747094287784,0.8934840230517201,0.761927828443495,0.05390376921069162,3.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.6,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606656E-72,0.8309548444256603,2.4928645332769808,2.0801747094287784,0.8934840230517201,0.761927828443495,0.05390376921069162,3.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.6,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606656E-72,0.8309548444256603,2.4928645332769808,2.0801747094287784,0.8934840230517201,0.761927828443495,0.05390376921069162,3.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.6,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606656E-72,0.8309548444256603,2.4928645332769808,2.0801747094287784,0.8934840230517201,0.761927828443495,0.05390376921069162,3.0,0.8309548444256604,2.492864533276981,2.0801747094287784,0.8934840230517203,0.761927828443495,0.053903769210690934,3.0
