# of Epoch,# of Aggregation Epoch,Min. Aggregation Epoch,Max Aggregation Epoch,# of Push Mess.,# of Pull-Push Mess.,# of Pull Mess.,# of Outcome=FIRST,# of Outcomes=DOUBLE,# of Outcomes=REPLACE,# of Outcomes=UNSUCCESSFUL,AMD Counter,SMA Counter,DMA Counter,AMS Counter,AMD F.P. Prob.,SMA F.P. Prob.,DMA F.P. Prob.,AMS F.P. Prob.,Avegare (Estimated),Sum (Estimated),Sum Square (Estimated),Max (Estimated),Min (Estimated),Stand. Deviation (Estimated),Count (Estimated),Avegare (Actual),Sum (Actual),Sum Square (Actual),Max (Actual),Min (Actual),Stand. Deviation (Actual),Count (Actual)
0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
1.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
2.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
3.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
4.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
5.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
6.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
7.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
8.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
9.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
10.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
11.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
12.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
13.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2000000000000001,3.370101675552102E-83,3.370101675552102E-83,3.370101675552102E-83,6.740203351104204E-84,0.5150286917031704,0.5150286917031704,0.43050999839642046,0.5150286917031704,0.5150286917031704,0.0,0.62,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
15.0,0.0,0.0,0.0,260.0,247.0,247.0,494.0,0.0,0.0,0.0,10.88,10.88,10.88,2.1760000000000006,1.6892846153437146E-52,1.6892846153437146E-52,1.6892846153437146E-52,3.3785692306874275E-53,0.8274477542315394,9.006629261588744,7.499994247697544,0.9230980946968605,0.7290095040896258,0.05966493811197402,10.88,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
16.0,0.0,0.0,0.0,480.0,480.0,480.0,960.0,0.0,0.0,0.0,30.08,30.08,30.08,6.016000000000003,5.921868893851988E-46,5.921868893851988E-46,5.921868893851988E-46,1.1843737787703978E-46,0.8254174339072425,24.828910913138216,20.61569101147732,0.9451577963751574,0.7057770265101291,0.06298538778332792,30.08,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
17.0,0.0,0.0,0.0,451.0,451.0,451.0,902.0,0.0,0.0,0.0,48.12,48.12,48.12,9.624,9.662831454641512E-43,9.662831454641512E-43,9.662831454641512E-43,1.9325662909283023E-43,0.8264473703590369,39.76824423924416,33.06139943798298,0.951523114084054,0.7029561164599301,0.06369675863213405,48.12,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
18.0,0.0,0.0,0.0,47.0,47.0,47.0,94.0,0.0,0.0,0.0,50.0,50.0,50.0,10.0,1.6201347779469716E-42,1.6201347779469716E-42,1.6201347779469716E-42,3.240269555893944E-43,0.8266487552776924,41.332437763884606,34.37082108832988,0.951523114084054,0.7029561164599301,0.06378289084418222,50.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,10.0,1.6201347779469716E-42,1.6201347779469716E-42,1.6201347779469716E-42,3.240269555893944E-43,0.8266487552776924,41.332437763884606,34.37082108832988,0.951523114084054,0.7029561164599301,0.06378289084418222,50.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,10.0,1.6201347779469716E-42,1.6201347779469716E-42,1.6201347779469716E-42,3.240269555893944E-43,0.8266487552776924,41.332437763884606,34.37082108832988,0.951523114084054,0.7029561164599301,0.06378289084418222,50.0,0.8266487552776919,41.33243776388459,34.370821088329905,0.9515231140840537,0.7029561164599301,0.06378289084418183,50.0
